# x,y,z
-2.292521216005691254e-02,-4.453295208557912777e-02,-5.859181430980754668e-02
3.355805936782543797e-03,1.909017541052192291e-02,-6.028777733944737371e-03
1.147621895138206671e-02,3.787155862001150008e-02,2.027388923279015154e-02
1.301633831830191490e-02,3.493656646544356092e-02,4.260833406269078083e-02
-2.039313975974373083e-02,2.264054367792757427e-02,7.050218594806811900e-04
-2.967456549145214284e-02,3.765668090903731557e-02,2.688951544379239444e-02
-2.502072603750825353e-02,3.022345174794711931e-02,4.797884722685220871e-02
-5.574058085039924892e-02,-1.191547266889136925e-02,-1.934914048850600032e-04
-4.204103035213198336e-02,-2.490592158602289094e-02,6.752460225187537080e-03
-2.682691339391980734e-02,-3.443134118535221000e-02,4.339585197667694683e-03
-4.184754043613575503e-02,3.907578672157109578e-03,5.780500596226645360e-05
-2.940972746826350792e-02,-1.351537515517416133e-02,1.647649474735853048e-02
-1.239225402157520528e-02,-3.032009054780282140e-02,8.655794994581536561e-03
4.193232681390504646e-03,-3.741427045178240263e-02,-3.462386814373493577e-02
1.422349990671249731e-02,-4.059790920737250952e-02,-5.348962395944650838e-03
2.447642152482921996e-02,-3.353362475670916554e-02,1.907153474955355921e-02
